ID,Title,Description,Source
1,Meghan opens up about her Nigerian heritage,"Meghan, the Duchess of Sussex, opened up about her Nigerian heritage during her three day trip to the country. Speaking at an event on women in leadership, the duchess revealed that a genealogy test showed she had Nigerian origins. ""Every single moment that I hear anyone talk about what it means to be a Nigerian woman, it is the most flattering thing to be in that company,"" she told audience members. Fake pictures of Katy Perry and other artists at the Met Gala went viral on social media. Authorities believe three tourists were attacked trying to fend off an attempted theft. Around 160 long-finned pilot whales washed up on the western Australian coast, wildlife officials say. The parents of Hersh Goldberg-Polin, a hostage held in Gaza, urge him to ""stay strong"" and ""survive"". A Greek actress playing the role of a high priestess lights the Olympic flame in ancient Olympia, Greece. The UK foreign secretary was speaking alongside US Secretary of State Antony Blinken at a news conference in Washington. In this video from Reuters, which has not been independently verified, Damian Soból describes packing water systems and pots for cooking meals in Gaza. Lalzawmi ""Zomi"" Frankcom was among those killed in an Israeli air strike on charity vehicles. In Ticino, Switzerland, a particularly mild winter produced an exceptional spaghetti harvest. Stella Assange said her husband had been held in prison for almost five years ""without charge"". The US abstained from the Security Council vote. Iconic buildings around the world go dark as part of the annual Earth Hour environmental campaign. Thousands of people gathered across the world this weekend to celebrate St Patrick's Day. Since the 2021 takeover, the Taliban have imposed restrictions on women's freedoms. Two sisters decided they couldn't just stand back and watch and started secretly using the power of their voices to resist. Yulia Navalnaya has encouraged voters to form long queues at polling stations on election day. BBC Verify has introduced a new feature to show audiences how we know what we know. Lyudmila Navalnaya makes a plea to Putin to release Alexei's body after he died in an Arctic prison. A junior doctor has said there is an ""era of quiet quitting"" and other staff reducing their hours in NI/ See key moments in Alexei Navalny's career as an outspoken critic of President Putin. BBC Verify analyses Ukrainian military footage claiming to show sea drones striking Russian ship in the Black Sea.",https://www.bbc.com/news/world-68998807
2,Roger Corman: Cult B-movie director dies aged 98,"Roger Corman, who directed a series of cult films including 1960's The Little Shop of Horrors, has died aged 98. His family told industry publication Variety that he died on Thursday at his home in Santa Monica, California. ""His films were revolutionary and iconoclastic, and captured the spirit of an age,"" their statement said. Jack Nicholson and Robert De Niro are among the actors he helped develop. Directors James Cameron and Martin Scorsese cut their teeth on his films. Many of his films became cult classics and he became famous for the speed at which he worked, often making two films at the same location and at the same time, in order to save money. Roger Corman was born in Detroit on 5 April 1926. His father, William, was an engineer and he had intended to follow in his footsteps. However, while studying at college, he became attracted to film-making and after a spell working for General Motors quit his job and went to work at 20th Century Fox as a messenger boy. Having failed to make much progress, he set off for Europe where among other things, he briefly studied English literature at Oxford. He returned to the US with ambitions to become a screenwriter. He sold his first script, The House in the Sea, in 1953 and it was filmed as Highway Dragnet the following year with Corman being credited as co-producer. However, he was so upset by the changes made to his story that he scraped together some cash and set himself up as a producer. Corman began directing in 1955 with Swamp Women and over the next 15 years he made more than 50 films, gaining a reputation for the speed with which he could turn them out. It became something of a joke in the film industry that Corman could negotiate a contract from a public phone, shoot the film in the phone box and pay for it with the coins in the change slot. The 1960 release, The Little Shop of Horrors, which featured a brief appearance by a young Jack Nicholson, took just two days to shoot with Corman using the set of a previous film, Bucket of Blood. A stage musical based on the film opened in 1982 and would itself spawn a second film version four years later. Corman decided to widen his horizons with a series of films based on the works of Edgar Allan Poe and featuring Vincent Price as the lead in all but one of them. The House of Usher was released in 1960 and was followed by a string of others including The Raven, The Masque of the Red Death and The Tomb of Ligeia. His 1962 film, The Intruder, which examined racial tensions in America's Deep South, featured a young William Shatner and won an award at the Venice Film Festival. Despite this, the film flopped at the box office and became Corman's first film to make a loss, prompting him to remark that he'd stick to making films that entertained rather than carried a social message. For a time he became part of the 1960s counter-culture, making biker film The Wild Angels, which starred Peter Fonda and Nancy Sinatra. He also directed The Trip, which was written by and starred Jack Nicholson. The film was seen as the precursor of Easy Rider, with both Peter Fonda and Dennis Hopper featuring in the cast In the late 60s he set up his own production company, New World Pictures. As well as continuing to make budget movies, he also began handling films made by distinguished foreign film-makers, including Francois Truffaut, Ingmar Bergman and Federico Fellini and introducing them to an American audience. He sold New World Pictures in the 1980s but went on to form two more production companies. He also returned to the director's chair in 1990 with the film Frankenstein Unbound. Based on a Brian Aldiss novel, it starred John Hurt and Bridget Fonda and featured a brief appearance by Michael Hutchence, the lead singer of the Australian band INXS. In 2009 he received an Academy Award for Lifetime Achievement and continued to work well into his eighties, producing the 2010 films Dinoshark and Sharktopus for the Syfy TV channel. The sheer quantity of films on which he worked is almost without precedent, as was his ability to find and nurture new talent. Many of his films have taken on cult status and few directors have been so successful at making popular pictures on such tight budgets. When asked how Corman would like to be remembered, he said, 'I was a filmmaker, just that,'"" the family said in their statement.",https://www.bbc.com/news/entertainment-arts-17127556
3,Meghan opens up about her Nigerian heritage,"Meghan, the Duchess of Sussex, opened up about her Nigerian heritage during her three day trip to the country. Speaking at an event on women in leadership, the duchess revealed that a genealogy test showed she had Nigerian origins. ""Every single moment that I hear anyone talk about what it means to be a Nigerian woman, it is the most flattering thing to be in that company,"" she told audience members. Fake pictures of Katy Perry and other artists at the Met Gala went viral on social media. Authorities believe three tourists were attacked trying to fend off an attempted theft. Around 160 long-finned pilot whales washed up on the western Australian coast, wildlife officials say. The parents of Hersh Goldberg-Polin, a hostage held in Gaza, urge him to ""stay strong"" and ""survive"". A Greek actress playing the role of a high priestess lights the Olympic flame in ancient Olympia, Greece. The UK foreign secretary was speaking alongside US Secretary of State Antony Blinken at a news conference in Washington. In this video from Reuters, which has not been independently verified, Damian Soból describes packing water systems and pots for cooking meals in Gaza. Lalzawmi ""Zomi"" Frankcom was among those killed in an Israeli air strike on charity vehicles. In Ticino, Switzerland, a particularly mild winter produced an exceptional spaghetti harvest. Stella Assange said her husband had been held in prison for almost five years ""without charge"". The US abstained from the Security Council vote. Iconic buildings around the world go dark as part of the annual Earth Hour environmental campaign. Thousands of people gathered across the world this weekend to celebrate St Patrick's Day. Since the 2021 takeover, the Taliban have imposed restrictions on women's freedoms. Two sisters decided they couldn't just stand back and watch and started secretly using the power of their voices to resist. Yulia Navalnaya has encouraged voters to form long queues at polling stations on election day. BBC Verify has introduced a new feature to show audiences how we know what we know. Lyudmila Navalnaya makes a plea to Putin to release Alexei's body after he died in an Arctic prison. A junior doctor has said there is an ""era of quiet quitting"" and other staff reducing their hours in NI/ See key moments in Alexei Navalny's career as an outspoken critic of President Putin. BBC Verify analyses Ukrainian military footage claiming to show sea drones striking Russian ship in the Black Sea.",https://www.bbc.com/news/world-68998807
4,Watch: Northern Lights captured glowing over Europe,"The Northern Lights, also known as aurora borealis, have been seen lighting up the night sky over Europe. Time-lapse videos posted on social media show swirls of green, pink and scarlet moving across the sky. They became visible after one of the strongest geomagnetic storms for years hit Earth, with the US National Oceanic and Atmospheric Administration (NOAA) issuing a rare solar storm warning. The lights are caused by charged particles from the sun hitting gases in the Earth's atmosphere. The prince made the comments as he visited St Mary’s Community Hospital on the Isles of Scilly. The Duke of Sussex spent Thursday afternoon at a charity event for children of fallen military personnel. Henry De Los Rios Polania told the BBC it is a “miracle” his family survived the attack at their home. Marianna Spring on how Ofcom wants to protect children from harmful content on social media. The duke was greeted by attendees, including actor Damien Lewis, before reading a Bible passage in St Paul's Cathedral. Queen Camilla was also in attendance at the first of Buckingham Palace's two annual summer parties. The Duke of Sussex will give a reading at the thanksgiving service in St Paul's Cathedral celebrating the 10th anniversary of the games. Ms Ghey was speaking to the BBC with other families whose children's deaths were linked to social media. A ""nationwide issue"" which caused huge delays at passport e-gates has been resolved. It's one year since King Charles and Queen Camilla were crowned in a lavish, historic ceremony. Labour's Sadiq Khan has thanked Londoners ""from the bottom of my heart"" after his re-election as mayor. The BBC’s analysis editor looks at the government’s proposed reforms to personal independence payments. ""I didn't come here to lie... I came to assist the inquiry,"" says former Post Office lawyer Jarnail Singh. Counsel Jason Beer suggested former Post Office lawyer Jarnail Singh gave a pre-emptive response. Labour's candidate Chris Webb wins Blackpool South with a huge swing away from the Conservatives. Mike Bushell gets sprinting tips from Britain's fastest sprinter - Zharnel Hughes. The distressing moment was captured on a doorbell camera, after which the suspect fled. Watch the key developments of the day in Hainault, which led to the death of a 14-year-old boy. Footage from a doorbell camera is released, showing police officers Tasering and detaining a man in Hainault, London.",https://www.bbc.com/news/uk-68994265
5,Djokovic greets fans with a helmet after being hit by bottle,"Novak Djokovic was hit in the head by a water bottle as he signed autographs after his victory against Corentin Moutet in the Italian Open. The tennis player was seen falling to the floor and helped out of the arena in Rome by security. Tournament organisers said the hard bottle had accidentally fallen out of the bag of someone in the crowd. The 24-time Grand Slam champion saw the funny side the next day and wore a helmet to greet fans. He shared the video on social media and wrote ""I came prepared"". Activists were protesting against plans to expand the factory in Grünheide - Tesla's only manufacturing location in Europe. Ahead of the Eurovision final, the former Years & Years singer looks at his chances of winning. A 140.5m (461ft)-long baguette baked in the Parisian suburbs has beaten a previous record from Italy in 2019. In a tradition going back centuries, two rival churches fire at one another during Orthodox Easter Mass. The exhibition was on display in Moscow's Victory Park, it included British hardware given to Ukraine. Ahmed Alhashimi tells the BBC of the moment he realised his seven-year-old daughter had died. Five people are killed in an attack on a private university in the Ukrainian port city of Odesa. Andrew Harding saw migrants board an overcrowded boat in Wimereux, northern France, on Tuesday. From Thursday visitors making a trip to the famous city at peak times will be charged a trial entrance fee. The reported strikes have been geolocated to the Smolensk region of western Russia. Ukrainian sources said the drones hit two facilities in the Smolensk region. The BBC's Andrew Harding, in France, witnesses people clambering aboard a small boat bound for the UK. Home Affairs correspondent Tom Symonds watches as migrants set off from France for the UK. The local military says that digital TV has been cut off in the surrounding area. A verdict of unlawful killing has been delivered in the inquests into the 1981 Stardust fire in Dublin. The taoiseach says his generation knows more about Berlin or Paris than NI - but how true is that? The historic 17th Century building in Denmark's capital was engulfed in flames on Tuesday. Denys Shmyhal spoke about Russian aggression and propaganda ahead of a vote by Congress on foreign aid. Video posted on social media captured the iconic spire tumbling to the ground after fire ravages the building. Video posted on social media captured the iconic spire tumbling to the ground after fire ravages the building.",https://www.bbc.com/news/world-europe-68994908
6,A visit to one of Antarctica's stunning penguin colonies,"Tourism in Antarctica is on the rise, with around 105,000 visitors a year to what are highly sensitive ecological areas. Marc Cieslak finds out how gentoo penguins are adapting to a warming climate. This video is from The Travel Show Space agencies around the world need lunar soil. A wild orangutan has astonished researchers by using a medicinal plant to treat his cheek wound. An extremely rare stellar explosion is about to happen and we will be able to witness it with the naked eye. A quick look at the viable options that could make shipping more sustainable. Two decades after Dolly the sheep, cloning technology has moved on so much that you can now clone your pets. How does King Charles III's Coronation year compare to that of his mother? Venus once had oceans of water but today, it's bone-dry. Now, researchers know why. Thanks to one patient, we now have the most accurate insight into life through the eyes of people affected by it. Dandora sits on the outskirts of Nairobi, Kenya, and 800 tonnes of garbage is dumped on the site every day. Get in-depth reporting and live coverage from all perspectives. The BBC brings you the world's stories. Christa Larwood climbs Mount Nemrut to learn more about a group of mystical stone monoliths. This rare dual emergence of two different broods hasn't happened for 221 years. In a new series, we will test the limits of the latest AI technology by pitting it against human experts. A new study reveals the role of rare gene variants and randomness in determining left-handedness. Qasa Alom meets a team conducting research on Alaska's changing environment. An intriguing mix of cultures await travellers who are prepared to explore beyond the beaches. Eva Zu Beck heads to the Slovenian mountains where she vists the country's remote refuges. Sri Lankans began planting jackfruit trees to gain food self-sufficiency during British rule. Eva Zu Beck heads to the Slovenian mountains and puts her skills to the test in a snow-castle competition. The world's largest direct air capture plant sucks CO2 from the air and deposits it underground.",https://www.bbc.com/reel/video/p0hwrqms/a-visit-to-one-of-antarctica-s-stunning-penguin-colonies
7,Israeli ambassador shreds UN charter with tiny shredder,"The United Nations General Assembly has enhanced Palestine's rights within the organisation and called for it to be accepted as a member. The outcome saw an immediate rebuke from Israel, with the country's UN ambassador Gilad Erdan destroying the UN charter with a tiny shredder in front of the assembly. Palestine has had non-member observer state status since 2012, which allows some rights short of a full member. Membership can only be decided upon by the UN Security Council. The US recently vetoed a bid for full membership, but Friday's vote can be seen as a gesture of support for the Palestinians. Video shows people jumping for joy and chanting joyously outside Al Aqsa hospital in Central Gaza. Palestinians have begun leaving parts of Rafah after Israel urged 100,000 people to evacuate the city. Palestinians have begun leaving parts of Rafah after Israel urged 100,000 people to evacuate the city. Israel has pounded southern Lebanon almost daily since Hezbollah fired rockets at Israel on 8 October. BBC Arabic's Adnan El-Bursh records the digging of a mass grave in December, describing the “awful” sight and smell. Keith Siegal's family react to a Hamas video of him, 202 days after he was taken captive. Moran Yanai, who was taken hostage by Hamas, speaks about spending 54 days in captivity. Joan Donoghue speaks to BBC Hardtalk about the case brought by South Africa to the ICJ over alleged violations of the Genocide Convention by Israel. The infant's entire immediate family died in Israeli air strikes on Rafah on Saturday night. Local security officials said one person was killed and eight others wounded. Footage showing explosions in the sky over Iran has been analysed by BBC Verify. Video sent to the BBC shows flashes in the sky, while a large explosion can also be heard. The city of Dubai has been hit by record floods, sparking misleading speculation about cloud seeding. The UAE is known for hot and dry weather but heavy rains have become more regular in recent years. More than double the amount of rain expected in a year fell in just one day. The UK foreign secretary says Iran carried out a very significant attack, ""but fortunately, it was a failure"". Footage shows projectiles being intercepted after Iran attacked Israel with drones and missiles. Iran's missile and drone attack on Israel raises the risk of an escalation in the region, the BBC's Middle East correspondent says. IDF's Daniel Hagari says his forces shot down most of Iran's ""massive swarm"" of drones and missiles.",https://www.bbc.com/news/world-us-canada-68994032
8,What to expect from Michael Cohen at Trump's hush-money trial,"On Monday, Donald Trump's criminal trial in New York will hear from Michael Cohen, the prosecution's star witness. Cohen, Trump's former personal attorney, made the hush money payment at the centre of the case, a sum which the prosecution alleges was fraudulently reimbursed by Mr Trump. Cohen, is expected to testify against the man he once reverently referred to as ""The Boss."" The BBC's Nada Tawfik looks at what we can expect from Cohen's pivotal testimony. Unusual geomagnetic storms may make aurora borealis visible in places where it is not usually seen. The BBC's Nada Tawfik goes through the cross-examination that the former adult-film star faced in court. In an interview with the BBC, the US Secretary of Transportation stressed the importance of the shipping channel. A new exhibit at the American Museum of Natural History features jewellery from some of the genre's biggest names A week of severe storms has left a trail of damage and flooding in multiple parts of the central US. A ship sailed into port in New York City with the endangered sei whale caught at its front. The Republican lawmaker motioned on Wednesday for a vote to oust House Speaker Mike Johnson. More than 16,000 military personnel took part in the practice drills in the Philippines and South China Sea. Severe storms damaged multiple buildings and trapped dozens in a Michigan FedEx facility. The BBC's Nada Tawfik looks at the biggest moments of the former adult-film star's time on the stand. Jennifer Wexton was diagnosed with progressive supranuclear palsy, which makes it difficult for her to speak. Parts of the central US were hit by severe weather on Monday, killing one and leaving many without power. Parts of the central US were hit by severe weather on Monday, killing one and leaving many without power. New York Governor Kathy Hochul's comments during a technology panel have drawn controversy. In an address at a Holocaust remembrance event, the US president said commitment to Israel is ""ironclad"". Fashion's biggest night of the year featured appearences by Kim Kardashian, Dua Lipa and Doja Cat. The BBC's Nada Tawfik runs through documents shown as evidence in court as Trump's criminal trial continues. Hundreds of people were rescued in Texas after deadly flooding and severe storms hit the US state. Pennsylvania pastor Glenn Germany escaped injury when gunman's firearm failed to discharge.",https://www.bbc.com/news/world-us-canada-68987628
9,Island fights back grey squirrel invasion,"For a decade only native red squirrels lived on Wales' Anglesey island, following a massive cull of their invasive grey cousins. But now the greys are somehow getting back across the Menai Strait.  Dr Craig Shuttleworth is on a mission to stop them.  Video produced by Justin Rowlatt and Gwyndaf Hughes. Relatives of Kaylan Hippsley criticise the “disgusting” sentence handed to his killer. BBC Wales presenter Lucy Owen describes how her mum regrets ignoring a bowel cancer screening test. Footage is posted online which appears to show individuals cutting down a speed camera. Some say money to pay for more politicians could be spent on things like education or improving roads. Gareth Lewis takes a look at some of Wales' most headline-grabbing policies since 1999. Caleb McDuff, 16, started racing when he was four and wants to make it to F1. Matt O’Brien embraces his love of cooking meat outdoors to make some extra cash. Fans in Barry Island share their favourite memories and their predictions for the final episode. Police are investigating after footage shows a linesmen punched to the ground during a match. John Smith reversed into the vehicle and fled on foot after stealing two cans of oil from a shop. Kat Watkins says she now avoids seeking medical attention due to her ""traumatic"" past experiences. Witnesses react in shock as loud bangs are heard and flames and smoke visible from the building. A loud bang can also be heard in footage of a fire at a chemical factory in north Wales. Demonstrators followed him as he was escorted to a car surrounded by security. The cider maker wants to sell the land which is the size of 140 football pitches. People shared their views on policing, as Wales looks to elect its police and crime commissioners. People in Cardiff agree eating healthily requires time, while fast food is cheap and widely available.",https://www.bbc.com/news/videos/cnl4nrl5qlro
10,"UK arms exports change would make Hamas stronger, says Cameron","The UK's Foreign Secretary Lord Cameron has told the BBC that he does not support Israel's plans for a ground offensive in Rafah. However, he has also said the UK has no plans to copy the US and stop some arms sales to Israel if it launches a major ground operation in Rafah. Speaking to Sunday with Laura Kuenssberg, he said the UK's focus should be on getting humanitarian aid into Gaza. Time-lapse videos show swirls of green, pink and scarlet moving across and lighting up the night sky. The prince made the comments as he visited St Mary’s Community Hospital on the Isles of Scilly. The Duke of Sussex spent Thursday afternoon at a charity event for children of fallen military personnel. Henry De Los Rios Polania told the BBC it is a “miracle” his family survived the attack at their home. Marianna Spring on how Ofcom wants to protect children from harmful content on social media. The duke was greeted by attendees, including actor Damien Lewis, before reading a Bible passage in St Paul's Cathedral. Queen Camilla was also in attendance at the first of Buckingham Palace's two annual summer parties. The Duke of Sussex will give a reading at the thanksgiving service in St Paul's Cathedral celebrating the 10th anniversary of the games. Ms Ghey was speaking to the BBC with other families whose children's deaths were linked to social media. A ""nationwide issue"" which caused huge delays at passport e-gates has been resolved. It's one year since King Charles and Queen Camilla were crowned in a lavish, historic ceremony. Labour's Sadiq Khan has thanked Londoners ""from the bottom of my heart"" after his re-election as mayor. The BBC’s analysis editor looks at the government’s proposed reforms to personal independence payments. ""I didn't come here to lie... I came to assist the inquiry,"" says former Post Office lawyer Jarnail Singh. Counsel Jason Beer suggested former Post Office lawyer Jarnail Singh gave a pre-emptive response. Labour's candidate Chris Webb wins Blackpool South with a huge swing away from the Conservatives. Mike Bushell gets sprinting tips from Britain's fastest sprinter - Zharnel Hughes. The distressing moment was captured on a doorbell camera, after which the suspect fled. Watch the key developments of the day in Hainault, which led to the death of a 14-year-old boy. Footage from a doorbell camera is released, showing police officers Tasering and detaining a man in Hainault, London.",https://www.bbc.com/news/uk-68998809
