Title,Description,Source
No Title,"Questions raised as MNA Nawaz chairs Punjab govt meetings PTI plans long march, sit-in against ‘rigging’ after Eid 11 file papers for Nawabshah seat vacated by Zardari For more on our elections coverage, go here",https://www.dawn.com/live/elections-2024#1822566
No Title,"Questions raised as MNA Nawaz chairs Punjab govt meetings PTI plans long march, sit-in against ‘rigging’ after Eid 11 file papers for Nawabshah seat vacated by Zardari For more on our elections coverage, go here",https://www.dawn.com/live/elections-2024#1822564
No Title,"Questions raised as MNA Nawaz chairs Punjab govt meetings PTI plans long march, sit-in against ‘rigging’ after Eid 11 file papers for Nawabshah seat vacated by Zardari For more on our elections coverage, go here",https://www.dawn.com/live/elections-2024#1822561
"No such thing as strategic state-owned enterprises, says Finance Minister Aurangzeb","Finance Minister Muhammad Aurangzeb on Sunday said that there was “no such thing” as strategic state-owned enterprises (SOEs) as he stressed the need for privatisation. He made the remarks at a pre-budget conference in Lahore, two days after  Deputy Prime Minister Ishaq Dar said the government would limit its business only to strategic and essential SOEs under its domain but their number would be reduced from 40 after scrutiny. Chairing the Cabinet Committee on Privatisation (CCoP) meeting, which was attended by the finance minister, Dar said privatisation of loss-making SOEs would be a priority. The meeting noted that 40 SOEs were currently categorised as strategic or essential, but respective ministries would submit their details to the Cabinet Committee on State-Owned Enterprises (CCoSOE). The CCoSOE will determine the status of the SOEs to be categorised as strategic or essential entities. Speaking on Sunday, Aurangzeb said: “There is no such as [a] strategic SOE.” Talking about the meeting chaired by Dar on Friday, he continued, “We are absolutely on the same wavelength — that there is no such thing as a strategic SOE.” The finance minister said that a meeting would be held tomorrow where “we will go back to various ministries and say that all this should be handed over to the private sector”. “There will be public-private partnership and we will accelerate the privatisation agenda,” he said. Commenting on concerns regarding the privatisation of Pakistan International Airlines (PIA), Aurangzeb said the government was not just looking at foreign investors. “They are local and foreign investors who are bidding […] there is no such thing that we are only looking at foreign investors,” he said. Commenting on a fresh loan programme with the International Monetary Fund (IMF) programme, he said that a larger and longer programme was needed to bring “permanence in macroeconomic stability and structural reforms”. He also talked about energy reforms, saying that there were “leakages” and stressed the need for stopping theft. He said that changes were being brought to the boards of distribution companies (Discos) in order to bring in those from the private sector for “better corporate governance”. “And then you will see how we bring those Discos towards concessions or privatisation or a combination of both,” he emphasised.",https://www.dawn.com/news/1833050/no-such-thing-as-strategic-state-owned-enterprises-says-finance-minister-aurangzeb
IMF mission to meet Pakistani authorities next week to discuss ‘next phase of engagement’: official,"An International Monetary Fund (IMF) mission will meet Pakistani authorities next week to discuss the “next phase of engagement”, an official from the international money lender said on Sunday. Speaking to Dawn.com, Esther Perez Ruiz, the Fund’s resident representative for Pakistan, said: “A mission team led by Nathan Porter, IMF’s mission chief to Pakistan, will meet with authorities next week to discuss the next phase of engagement. “The aim is to lay the foundation for better governance and stronger, more inclusive, and resilient economic growth that will benefit all Pakistanis,” she added. Pakistan last month completed a short-term $3 billion programme, which helped stave off sovereign default, but the government has stressed the need for a fresh, longer-term programme. Last week, the Fund said that a mission was expected to visit Pakistan this month to “discuss the FY25 budget, policies, and reforms under a potential new programme for the welfare of all Pakistanis”. Pakistan narrowly averted default last summer, and the $350bn economy has stabilised after the completion of the last IMF programme, with inflation coming down to around 17 per cent in April from a record high 38pc last May. The country is still dealing with a high fiscal shortfall and while the external account deficit has been controlled through import control mechanisms, it has come at the expense of stagnating growth, which is expected to be around 2pc this year compared to negative growth last year. Pakistan is expected to seek at least $6bn and request additional financing from the Fund under the Resilience and Sustainability Trust. On Friday, the Fund said that downside risks for the economy remain exceptionally high. “Downside risks remain exceptionally high. While the new government has indicated its intention to continue the SBAs (standby arrangement) policies, political uncertainty remains significant,” said the IMF in its staff report following the second and final review under the standby agreement. The Fund added that political complexities and high cost of living could weigh on policy, adding that policy slippages, together with lower external financing, could undermine the narrow path to debt sustainability and place pressure on the exchange rate. The IMF also said higher commodity prices and disruptions to shipping, or tighter global financial conditions, would also adversely affect external stability for the cash-strapped nation. The fund stressed the need for timely post-programme external financing disbursements. Additional input from Reuters",https://www.dawn.com/news/1833053/imf-mission-to-meet-pakistani-authorities-next-week-to-discuss-next-phase-of-engagement-official
Situation in AJK calms down after 2 days of violent clashes,"Following violent clashes over the last 48 hours, which left a policeman dead, the situation in Muzaffarabad seemed to have calmed down on Sunday, with a Rangers detachment that was sent to Azad Jammu and Kashmir (AJK) from Kohala having been withdrawn. AJK witnessed violent clashes between the police and activists of a rights movement amid a wheel-jam and shutter-down strike across the territory on Friday and Saturday, which left at least one police official dead and more than 90 others injured, officials told Dawn.com on Saturday. Mirpur Senior Superintendent of Police (SSP) Kamran Ali had said that Sub-inspector Adnan Qureshi succumbed to a gunshot wound in the chest in the town of Islamgarh, where he was deployed to stop a rally for Muzaffarabad under the banner of the Jammu Kashmir Joint Awami Action Committee (JAAC). The JAAC, which has traders at the forefront in most parts of the state, has been seeking the provision of electricity as per hydropower generation cost in AJK, subsidised wheat flour and an end to the privileges of the elite class. They called for the strike following the arrest of at least 70 of their members in raids on Thursday. Reports emerged in the wake of the protests on Sunday that three Rangers battalions had entered the territory through Kohala and were awaiting further orders. However, AJK Minister for Rural Development Faisal Mumtaz Rathore confirmed that the Rangers, due to the intervention of President Asif Zardari, were “called back as soon as they entered Azad Kashmir” since the situation had calmed down. Meanwhile, in Islamabad, former prime minister of AJK Sardar Abdul Qayyum Niazi slammed the deployment, calling it a “drama” and an attempt to score political points. “First they send them, then call them back, what is this?” the ex-AJK PM said. “Those fighting for their rights and engaging in protest are free to do so, but they must remain peaceful,” Niazi said in a press conference. He added that they (the protestors) must not give the “enemy” a chance to sow discord within the territory and create infighting. In a post on Facebook, Rathore acknowledged the public demands for cheap electricity, but admitted that addressing them was “out of his hands”. “The big demand of the people, the demand for cheap electricity and the end of loadshedding, falls under the jurisdiction of the Government of Pakistan,” Rathore said. Urging the public to remain peaceful, he said, “In this one year [I have been in office], I have never been against the right to peaceful protest and [never] supported violence against people.” In the aftermath of the protests, JAAC leader Shaukat Nawaz Mir reiterated that the committee is a peaceful organisation and willing to negotiate with the authorities to ensure the provision of cheap electricity and cheap flour. He also appreciated the withdrawal of the Rangers from the area. “We have planned another shutter-down strike,” he told reporters on Sunday. “We have been peaceful for the last year and always will be a peaceful movement. This territory and its institutions and police are our own.” Mir maintained that the JAAC is advocating for the rights of the public in AJK, “but it is the bureaucrats who do not understand the public’s needs that are doing the damage”. The JAAC is peaceful and open to negotiations, Mir added, requesting to be notified by the authorities about decisions taken. “We do not want to hurt anyone.” He also slammed the federal government for not cutting down spending while at the same time claiming they have no room in the budget to subsidise electricity or flour. “The government claims they can’t provide cheap electricity and flour because they have no budget, but they have the money for watches and cars,” Mir said, adding that the federal government and the prime minister should be “ashamed”. “I don’t want my forum to be controversial,” Mir said. “We are made up of respectable politicians … the local council is standing with us”. The JAAC leader added that the movement was successful since members of multiple parties and councils “are on our side”. “Our nation is conscious now. There is no politics here, we just want our rights and identity.”",https://www.dawn.com/news/1833056/situation-in-ajk-calms-down-after-2-days-of-violent-clashes
"Fight till the last ball, PCB chief tells cricket team in Dublin","Pakistan Cricket Board (PCB) Chairman Mohsin Naqvi on Sunday told the national team to “fight till the last ball” ahead of the second match of a three-match T20 series against Ireland. As he met players of the men’s national team in the Irish capital of Dublin, the PCB quoted him as saying: “Fight till the last ball; the competition should be apparent.”  On Friday, Ireland recorded their maiden T20 win against Pakistan who could not defend a solid-looking 182-5 after being put in to bat first, dealing a shocking blow to the Babar Azam-led side’s preparations for the World Cup, which is taking place next month in the United States. The loss to Ireland, who are in Pakistan’s group in the T20 World Cup, came after a series draw on home soil to a New Zealand squad missing most of their first-choice players. With Babar only recently reinstated as captain, it was another bump in the road for their tournament preparation.  Today’s match will start at 7pm, with Ireland leading the series by 1-0. In a post on X, the PCB shared a video of Naqvi meeting the Green Shirts and speaking to them, adding that a detailed discussion on the action plan took place during the two-hour-long meetup. Encouraging the team, the PCB chairman urged the players to play with hard work, passion and a “professional approach”. He noted that T20 cricket needed a unique and aggressive approach, adding that victory was only possible if cricket was played in a “modern manner”. “An action plan can be formulated while sitting in a room but the real test is on the ground, where the performance should be visible,” the PCB quoted him as telling the team. Naqvi praised all players as “undoubtedly talented, professional and the best”, adding that the team’s bowling attack was “splendid”. However, he emphasised that great attention was required when fielding so that the opponent “cannot get any chance” to score. “The players are the hope for Pakistan and you have to meet the nation’s expectations. Teamwork is the fundamental thing for victory,” the PCB chairman said. He noted that the public loved cricket and had expectations from the team. Naqvi said that success would come if all 11 of the players in the team performed with unity. “No one is accepting the loss in the first match against Ireland. The real test after Ireland and England is the World Cup,” he added.",https://www.dawn.com/news/1833052/fight-till-the-last-ball-pcb-chief-tells-cricket-team-in-dublin
No Title," Israel’s deadly siege of Gaza Strip enters seventh month after Hamas’ Oct 7 attack UN says half of Gaza population experiencing “catastrophic” hunger as threat of famine looms 72pc of enclave’s residential buildings destroyed, reconstruction to cost up to $40bn Israel seizes Rafah crossing amid global outcry Alarm in Israel at possible ICC legal action over Gaza atrocities",https://www.dawn.com/live/gaza-invasion
Canada arrests fourth Indian national in killing of Sikh activist,"A fourth Indian national was charged by Canadian authorities on Saturday in the 2023 killing of a separatist Sikh leader in Vancouver. Amandeep Singh, 22, was already being held for unrelated gun charges before being charged with “first-degree murder and conspiracy to commit murder” in the slaying of Hardeep Singh Nijjar. Three other Indian nationals were arrested this month. The killing sparked a diplomatic row between Ottawa and New Delhi when Prime Minister Justin Trudeau linked Indian intelligence to the killing. Nijjar — who immigrated to Canada in 1997 and became a citizen in 2015 — had advocated for a separate Sikh state, known as Khalistan, carved out of India. He had been wanted by Indian authorities for alleged “terrorism” and conspiracy to commit murder — allegations he denied. He was shot dead on June 18, 2023, by masked assailants in the parking lot of the Sikh temple he led in suburban Vancouver. Trudeau announced several months later that Canada had “credible allegations” connecting Indian intelligence to the slaying. India dismissed the allegations as “absurd” and responded furiously, briefly curbing visas for Canadians and forcing Ottawa to withdraw diplomats. In November, the US Justice Department charged an Indian citizen living in the Czech Republic with allegedly plotting a similar assassination attempt on American soil. Prosecutors said in unsealed court documents that an Indian government official was also involved in the planning. The shock allegations came after US President Joe Biden hosted Indian Prime Minister Narendra Modi for a rare state visit, as Washington seeks closer ties with India against China’s growing influence. US intelligence agencies have assessed that the plot on American soil was approved by India’s top spy official at the time, Samant Goel, the Washington Post reported in April. Canada is home to some 770,000 Sikhs, who make up about two per cent of the country’s population, with a vocal minority calling for an independent state of Khalistan.",https://www.dawn.com/news/1833042/canada-arrests-fourth-indian-national-in-killing-of-sikh-activist
Second night of auroras seen amid ‘extreme’ solar storm,"Auroras lit up skies across swaths of the planet for the second night in a row on Saturday, after already dazzling Earthlings from the United States to Tasmania to the Bahamas the day before. A powerful solar storm — which could continue into Sunday — has triggered spectacular celestial shows usually confined to the far northern reaches of the planet, hence their nickname of the “northern lights”. “I have the sensation of living through a historic night in France […] It was really charged, with solar particles and emotions,” Eric Lagadec, an astrophysicist at the Observatoire de Cote d’Azur, wrote on social media after the first night. “Find good spots, away from the lights, with a clear view to the north!” Late on Saturday evening, pictures again started trickling onto social media as people in the United States reported sightings, though not as strong as Friday night’s. The first of several coronal mass ejections (CMEs) — expulsions of plasma and magnetic fields from the Sun —  came just after 4pm GMT on Friday, according to the US-based National Oceanic and Atmospheric Administration (NOAA)’s Space Weather Prediction Center (SWPC). It was later upgraded to an “extreme” geomagnetic storm —  the first since the “Halloween Storms” of October 2003 that caused blackouts in Sweden and damaged power infrastructure in South Africa. Friday’s storm was listed as hitting level five geomagnetic conditions — the highest on the scale. Saturday saw G3 to G5 conditions, with G4 or higher conditions predicted Sunday and G3 conditions possible into Monday. But no major disruptions to power or communications networks appear to have been reported this time around, despite initial worries from authorities. There have only been “preliminary reports of power grid irregularities, degradation to high-frequency communications, GPS and possibly satellite navigation,” the SWPC said. Elon Musk, whose Starlink satellite internet operator has some 5,000 satellites in low Earth orbit, said his satellites were “under a lot of pressure, but holding up so far”. However China’s National Centre for Space Weather issued a “red alert” on Saturday morning, warning the storm will impact communications and navigation in most areas of the country, state news agency Xinhua reported. Auroras were visible in the northern half of the country, according to media reports. Excitement over the phenomenon —  and otherworldly photos of pink, green and purple night skies —  popped up across the world, from Mont Saint-Michel on the French coast to Payette, Idaho — in the western United States — to Australia’s island state of Tasmania. People pose for photos as a geomagnetic storm lights up the night sky above the Bonneville Salt Flats on May 10 in Wendover, Utah. — AFP Unlike solar flares, which travel at the speed of light and reach Earth in around eight minutes, CMEs travel at a more sedate pace, with officials putting the current average at 800 kilometres per second. The CMEs emanated from a massive sunspot cluster that is 17 times wider than our planet. People with eclipse glasses can also look for the sunspot cluster during the day. The Sun is approaching the peak of an 11-year cycle that brings heightened activity. NOAA’s Brent Gordon encouraged the public to try to capture the night sky with phone cameras even if they couldn’t see auroras with their naked eyes. “You’d be amazed at what you see in that picture versus what you see with your eyes.” Fluctuating magnetic fields associated with geomagnetic storms induce currents in long wires, including power lines, which can potentially lead to blackouts. Long pipelines can also become electrified, leading to engineering problems. Spacecraft are also at risk from high doses of radiation, although the atmosphere prevents this from reaching Earth. NASA has a dedicated team looking into astronaut safety and can ask astronauts on the International Space Station to move to places within the outpost that are better shielded. Even pigeons and other species that have internal biological compasses could be affected. Pigeon handlers have noted a reduction in birds coming home during geomagnetic storms, according to NASA’s Jet Propulsion Laboratory. The most powerful geomagnetic storm in recorded history, known as the Carrington Event after British astronomer Richard Carrington, occurred in September 1859.",https://www.dawn.com/news/1833046/second-night-of-auroras-seen-amid-extreme-solar-storm
