ID,Title,Description,Source
1,Horse stranded on rooftop and airport floods in Brazil,"Rescue efforts are underway in Brazil's Rio Grande do Sul state after floods and landslides killed at least 100 people. More than 160,000 people have been displaced by the floods, with some municipalities completely destroyed by floodwater. Pictures emerged on Wednesday of a horse stranded on a rooftop amidst the floodwater in the city of Canoas. The city's mayor told GloboNews that they were hoping to rescue the horse with the help of a helicopter. The international airport in the state's capital, Porto Alegre, has had its runways completely flooded and will be out of use for at least 30 days. Football stadium Arena do Grêmio has also been affected by the floods. A message of solidarity was projected onto the Christ the Redeemer statue in Rio de Janeiro on Wednesday evening. Aerial footage shows devastating scenes in Brazil as landslides and massive flooding kill dozens. The concert in Brazil marked the end of the singing icon's 'Celebration' world tour. Footage shows a man narrowly avoiding falling into the water as a bridge gives way. Rio's iconic Christ the Redeemer statue has a makeover in celebration of Indigenous Peoples' Day. About ten million people face water rationing as severe drought brings reservoir levels to record lows. Guatemala's president has declared a natural disaster as dozens of forest fires rage and a landfill site burns. Live-streamed footage captured the moment a detainee stole a gun from a guard and opened fire in Chile. Colombian authorities seize over three tonnes of cocaine following a chase at sea, their largest haul of 2024. Men dressed as devils - ""talciguines"" - whip the faithful in a playful Easter tradition in El Salvador. As turmoil grips the Caribbean nation, how countries from the US to Kenya react will be critical. President Andres Manuel Lopez Obrador was inside the building giving a press conference at the time. The mayor of Cobija, a city in the north, declares the area a disaster zone because of heavy rain. Brazil's former president greets supporters in Sao Paulo as an investigation continues into the 2023 storming of Congress. A yellow alert for areas close to the volcano is currently in place, according to local media. The undercover policeman showed up at the house of an alleged drug dealer, bearing a fake gift. The BBC goes inside controversial Salvadoran mega-jail that holds thousands of inmates. As a new film about the reggae star's life comes out, here's all you need to know about his Rastafarian faith. Indigenous communities were celebrated at the Sambadrome Marquês de Sapucaí on Sunday evening. This video shows Piñera at the rescue of miner Florencio Avalos, the first man to be brought to the surface. At least 112 people have been killed in Chile's Valparaiso region.",https://www.bbc.com/news/world-latin-america-68981957
2,US and allies sink mock enemy ship in military drill,"US and Philippine forces, supported by Australian air surveillance teams, sank a mock enemy warship in the South China Sea. More than 16,000 military personnel from the three countries took part in the series of drills, which included a scenario of a foreign invasion in the Philippines. Severe storms damaged multiple buildings and trapped dozens in a Michigan FedEx facility. The BBC's Nada Tawfik looks at the biggest moments of the former adult-film star's time on the stand. Jennifer Wexton was diagnosed with progressive supranuclear palsy, which makes it difficult for her to speak. Parts of the central US were hit by severe weather on Monday, killing one and leaving many without power. Parts of the central US were hit by severe weather on Monday, killing one and leaving many without power. New York Governor Kathy Hochul's comments during a technology panel have drawn controversy. In an address at a Holocaust remembrance event, the US president said commitment to Israel is ""ironclad"". Fashion's biggest night of the year featured appearences by Kim Kardashian, Dua Lipa and Doja Cat. The BBC's Nada Tawfik runs through documents shown as evidence in court as Trump's criminal trial continues. Hundreds of people were rescued in Texas after deadly flooding and severe storms hit the US state. Pennsylvania pastor Glenn Germany escaped injury when gunman's firearm failed to discharge. Pro-Palestinian protesters interrupted ceremonies using chants and flags in Massachusetts and Michigan. There were dozens of workers still inside when the extreme weather event struck - but all survived. More rain is forecast in the south-east of the state as authorities urge some residents to evacuate. NYU students were arrested after administrators asked for assistance to disperse ""illegal encampments"". President Joe Biden makes light of being ""old"" as he awards the highest US civilian honour to 19 recipients. The BBC's Nada Tawfik explains what Hope Hicks, Trump's former press secretary, revealed about the hush-money deal. A small plane's engine lost power mid-flight, forcing the pilot to land on a New York beach. Sikh separatist Hardeep Singh Nijjar was shot dead last June outside a temple in a Vancouver suburb. More than one thousand of the animals visited a city pier - the region's biggest spike in 15 years.",https://www.bbc.com/news/world-us-canada-68980344
3,Horse stranded on rooftop and airport floods in Brazil,"Rescue efforts are underway in Brazil's Rio Grande do Sul state after floods and landslides killed at least 100 people. More than 160,000 people have been displaced by the floods, with some municipalities completely destroyed by floodwater. Pictures emerged on Wednesday of a horse stranded on a rooftop amidst the floodwater in the city of Canoas. The city's mayor told GloboNews that they were hoping to rescue the horse with the help of a helicopter. The international airport in the state's capital, Porto Alegre, has had its runways completely flooded and will be out of use for at least 30 days. Football stadium Arena do Grêmio has also been affected by the floods. A message of solidarity was projected onto the Christ the Redeemer statue in Rio de Janeiro on Wednesday evening. Aerial footage shows devastating scenes in Brazil as landslides and massive flooding kill dozens. The concert in Brazil marked the end of the singing icon's 'Celebration' world tour. Footage shows a man narrowly avoiding falling into the water as a bridge gives way. Rio's iconic Christ the Redeemer statue has a makeover in celebration of Indigenous Peoples' Day. About ten million people face water rationing as severe drought brings reservoir levels to record lows. Guatemala's president has declared a natural disaster as dozens of forest fires rage and a landfill site burns. Live-streamed footage captured the moment a detainee stole a gun from a guard and opened fire in Chile. Colombian authorities seize over three tonnes of cocaine following a chase at sea, their largest haul of 2024. Men dressed as devils - ""talciguines"" - whip the faithful in a playful Easter tradition in El Salvador. As turmoil grips the Caribbean nation, how countries from the US to Kenya react will be critical. President Andres Manuel Lopez Obrador was inside the building giving a press conference at the time. The mayor of Cobija, a city in the north, declares the area a disaster zone because of heavy rain. Brazil's former president greets supporters in Sao Paulo as an investigation continues into the 2023 storming of Congress. A yellow alert for areas close to the volcano is currently in place, according to local media. The undercover policeman showed up at the house of an alleged drug dealer, bearing a fake gift. The BBC goes inside controversial Salvadoran mega-jail that holds thousands of inmates. As a new film about the reggae star's life comes out, here's all you need to know about his Rastafarian faith. Indigenous communities were celebrated at the Sambadrome Marquês de Sapucaí on Sunday evening. This video shows Piñera at the rescue of miner Florencio Avalos, the first man to be brought to the surface. At least 112 people have been killed in Chile's Valparaiso region.",https://www.bbc.com/news/world-latin-america-68981957
4,We're about to witness a once-in-a-lifetime star explosion,"A star in the Corona Borealis constellation is about to explode. The recurrent nova, T Coronae Borealis, has an outburst every 80 years. The next one is expected between now and September. What can we expect to see when looking up at the night sky? And what should we know about watching this rare event? Video by Sanjana Bhambhani A quick look at the viable options that could make shipping more sustainable. Two decades after Dolly the sheep, cloning technology has moved on so much that you can now clone your pets. How does King Charles III's Coronation year compare to that of his mother? Thanks to one patient, we now have the most accurate insight into life through the eyes of people affected by it. Dandora sits on the outskirts of Nairobi, Kenya, and 800 tonnes of garbage is dumped on the site every day. Get in-depth reporting and live coverage from all perspectives. The BBC brings you the world's stories. Christa Larwood climbs Mount Nemrut to learn more about a group of mystical stone monoliths. This rare dual emergence of two different broods hasn't happened for 221 years. As the river dried up, life in Samdzong became impossible. So the locals built a new village from scratch. In a new series, we will test the limits of the latest AI technology by pitting it against human experts. A new study reveals the role of rare gene variants and randomness in determining left-handedness. Qasa Alom meets a team conducting research on Alaska's changing environment. An intriguing mix of cultures await travellers who are prepared to explore beyond the beaches. Eva Zu Beck heads to the Slovenian mountains where she vists the country's remote refuges. Sri Lankans began planting jackfruit trees to gain food self-sufficiency during British rule. Eva Zu Beck heads to the Slovenian mountains and puts her skills to the test in a snow-castle competition. The world's largest direct air capture plant sucks CO2 from the air and deposits it underground. Discreetly located in a sleepy Venetian square, Palazzo Fortuny surprises whomever ventures in. Sweden has some of the world's highest taxes, so why is the taxman so popular with the Swedes? Fifty years ago, on April 25, 1974, a Eurovision song gave the signal for a military coup.",https://www.bbc.com/reel/video/p0hvn69l/we-re-about-to-witness-a-once-in-a-lifetime-star-explosion
5,Parts supplied to Boeing had 'serious defects' - whistleblower,"Former quality inspector Santiago Paredes alleges Spirit AeroSystems sent Boeing fuselages with dozens of defects. Charlotte Tiplady and Elliot Barton explain how together they built up their Tatti Lashes beauty empire from Liverpool. Ocado has added robotic arms to its newest warehouse near Luton. The latest international business headlines from BBC World News. Former sub-postmaster Jo Hamilton told BBC Breakfast she feels ""guilt"" after settling with the government over the Horizon IT scandal. People in Kent share their finance stories ahead of Wednesday's Budget. Would you share yours? Mohsin Issa, one half of the so-called ""billionaire brothers"" who own Asda, says he plans to hand over the running of the UK's third biggest supermarket. Sandy Enoch of Robotical explains why he had to pivot his educational robot company due to AI. Hovhannes Avoyan, founder of picture and video editing app Picsart, shares his advice for our CEO Secrets series. Archive footage shows Dame Anita Roddick talking about her company's success, in an 1984 interview. The retailer gave the footage to the BBC as it warned of a rise in attacks on retail staff. Sir Howard Davies says he believes it is not currently ""that difficult"" for people to get on the housing ladder. Joanna Jensen, founder of skincare brand Childs Farm, shares advice for start-ups for our CEO Secrets series. The regulator has plans to make mobile and broadband firms more upfront about mid-contract price rises. Richard Harpin, co-founder of Homeserve, explains how an earring taught him an early business lesson. Olivia DeRamus set up an app in the wake of her sexual assault. Now she's ready to take on Big Tech. It is the first transatlantic flight powered solely by alternative fuels. Could this be the solution for recycling more plastic? The rise is ""fantastic news"" and is worth £1,800 for full-time workers, says the Chief Secretary to the Treasury. Inside a project tackling period poverty, with an army of thousands of volunteers across the world. Kathryn Jacob, CEO of cinema advertising firm Pearl & Dean, explains her philosophy of team leadership.",https://www.bbc.com/news/business-68980492
6,Could wind power be the future of shipping?,"Making its maiden voyage in August 2023, the cargo ship Pyxis Ocean travelled from China to Brazil, across the Indian and Pacific Oceans, and the North and South Atlantic – blown by the wind for half a year. This journey would provide the first real-world test of the so called 'WindWings' - and would show us whether a return wind power could be the way forward for moving cargo at sea. Looking at the shipping industry as a whole, what are the chances for a more sustainable future? Video by Katherine Latham An extremely rare stellar explosion is about to happen and we will be able to witness it with the naked eye. Two decades after Dolly the sheep, cloning technology has moved on so much that you can now clone your pets. How does King Charles III's Coronation year compare to that of his mother? Venus once had oceans of water but today, it's bone-dry. Now, researchers know why. Thanks to one patient, we now have the most accurate insight into life through the eyes of people affected by it. Dandora sits on the outskirts of Nairobi, Kenya, and 800 tonnes of garbage is dumped on the site every day. Get in-depth reporting and live coverage from all perspectives. The BBC brings you the world's stories. Christa Larwood climbs Mount Nemrut to learn more about a group of mystical stone monoliths. This rare dual emergence of two different broods hasn't happened for 221 years. As the river dried up, life in Samdzong became impossible. So the locals built a new village from scratch. In a new series, we will test the limits of the latest AI technology by pitting it against human experts. A new study reveals the role of rare gene variants and randomness in determining left-handedness. Qasa Alom meets a team conducting research on Alaska's changing environment. An intriguing mix of cultures await travellers who are prepared to explore beyond the beaches. Eva Zu Beck heads to the Slovenian mountains where she vists the country's remote refuges. Sri Lankans began planting jackfruit trees to gain food self-sufficiency during British rule. Eva Zu Beck heads to the Slovenian mountains and puts her skills to the test in a snow-castle competition. The world's largest direct air capture plant sucks CO2 from the air and deposits it underground. Discreetly located in a sleepy Venetian square, Palazzo Fortuny surprises whomever ventures in. Sweden has some of the world's highest taxes, so why is the taxman so popular with the Swedes?",https://www.bbc.com/reel/video/p0hwlgkp/could-wind-power-be-the-future-of-shipping-
7,Watch: King Charles greets guests at Buckingham Palace garden party,"King Charles III waves his top hat and shakes hands with guests at a Buckingham Palace garden party on Wednesday. He is joined by his wife, Queen Camilla, for the first of two summer parties the Palace will host this year. The King took a break from public-facing duties after announcing his cancer diagnosis in February. He has since returned to some public appearances while his cancer treatment continues. Prince Harry is also in London on a flying visit from his home in California, but he will not meet the King. Harry's spokesman said the King's ""full programme"" prevented the two from meeting. Ms Ghey was speaking to the BBC with other families whose children's deaths were linked to social media. A ""nationwide issue"" which caused huge delays at passport e-gates has been resolved. It's one year since King Charles and Queen Camilla were crowned in a lavish, historic ceremony. Labour's Sadiq Khan has thanked Londoners ""from the bottom of my heart"" after his re-election as mayor. The BBC’s analysis editor looks at the government’s proposed reforms to personal independence payments. ""I didn't come here to lie... I came to assist the inquiry,"" says former Post Office lawyer Jarnail Singh. Counsel Jason Beer suggested former Post Office lawyer Jarnail Singh gave a pre-emptive response. Labour's candidate Chris Webb wins Blackpool South with a huge swing away from the Conservatives. Mike Bushell gets sprinting tips from Britain's fastest sprinter - Zharnel Hughes. The distressing moment was captured on a doorbell camera, after which the suspect fled. Watch the key developments of the day in Hainault, which led to the death of a 14-year-old boy. Footage from a doorbell camera is released, showing police officers Tasering and detaining a man in Hainault, London. Asst Com Louisa Rolfe from the Met Police says a 36-year-old man has been arrested on suspicion of murder. A 14-year old boy has died after being stabbed in Hainault, Police say. The King smiles and waves as he arrives at a cancer centre in central London on his return to public duties. Video filmed by a bystander shows police chasing a suspect as he climbs over garage roofs in Hainault. Several people, including two police officers, have been injured by a man armed with a sword in east London. The Duchess of Edinburgh is the first member of the Royal Family to visit Ukraine. A British man has been seriously injured following a shark attack in the Caribbean island of Tobago. The Tory MP defended the government's record on the NHS, after Dan Poulter defected to Labour.",https://www.bbc.com/news/uk-68980476
8,US and allies sink mock enemy ship in military drill,"US and Philippine forces, supported by Australian air surveillance teams, sank a mock enemy warship in the South China Sea. More than 16,000 military personnel from the three countries took part in the series of drills, which included a scenario of a foreign invasion in the Philippines. Severe storms damaged multiple buildings and trapped dozens in a Michigan FedEx facility. The BBC's Nada Tawfik looks at the biggest moments of the former adult-film star's time on the stand. Jennifer Wexton was diagnosed with progressive supranuclear palsy, which makes it difficult for her to speak. Parts of the central US were hit by severe weather on Monday, killing one and leaving many without power. Parts of the central US were hit by severe weather on Monday, killing one and leaving many without power. New York Governor Kathy Hochul's comments during a technology panel have drawn controversy. In an address at a Holocaust remembrance event, the US president said commitment to Israel is ""ironclad"". Fashion's biggest night of the year featured appearences by Kim Kardashian, Dua Lipa and Doja Cat. The BBC's Nada Tawfik runs through documents shown as evidence in court as Trump's criminal trial continues. Hundreds of people were rescued in Texas after deadly flooding and severe storms hit the US state. Pennsylvania pastor Glenn Germany escaped injury when gunman's firearm failed to discharge. Pro-Palestinian protesters interrupted ceremonies using chants and flags in Massachusetts and Michigan. There were dozens of workers still inside when the extreme weather event struck - but all survived. More rain is forecast in the south-east of the state as authorities urge some residents to evacuate. NYU students were arrested after administrators asked for assistance to disperse ""illegal encampments"". President Joe Biden makes light of being ""old"" as he awards the highest US civilian honour to 19 recipients. The BBC's Nada Tawfik explains what Hope Hicks, Trump's former press secretary, revealed about the hush-money deal. A small plane's engine lost power mid-flight, forcing the pilot to land on a New York beach. Sikh separatist Hardeep Singh Nijjar was shot dead last June outside a temple in a Vancouver suburb. More than one thousand of the animals visited a city pier - the region's biggest spike in 15 years.",https://www.bbc.com/news/world-us-canada-68980344
9,US and allies sink mock enemy ship in military drill,"US and Philippine forces, supported by Australian air surveillance teams, sank a mock enemy warship in the South China Sea. More than 16,000 military personnel from the three countries took part in the series of drills, which included a scenario of a foreign invasion in the Philippines. Severe storms damaged multiple buildings and trapped dozens in a Michigan FedEx facility. The BBC's Nada Tawfik looks at the biggest moments of the former adult-film star's time on the stand. Jennifer Wexton was diagnosed with progressive supranuclear palsy, which makes it difficult for her to speak. Parts of the central US were hit by severe weather on Monday, killing one and leaving many without power. Parts of the central US were hit by severe weather on Monday, killing one and leaving many without power. New York Governor Kathy Hochul's comments during a technology panel have drawn controversy. In an address at a Holocaust remembrance event, the US president said commitment to Israel is ""ironclad"". Fashion's biggest night of the year featured appearences by Kim Kardashian, Dua Lipa and Doja Cat. The BBC's Nada Tawfik runs through documents shown as evidence in court as Trump's criminal trial continues. Hundreds of people were rescued in Texas after deadly flooding and severe storms hit the US state. Pennsylvania pastor Glenn Germany escaped injury when gunman's firearm failed to discharge. Pro-Palestinian protesters interrupted ceremonies using chants and flags in Massachusetts and Michigan. There were dozens of workers still inside when the extreme weather event struck - but all survived. More rain is forecast in the south-east of the state as authorities urge some residents to evacuate. NYU students were arrested after administrators asked for assistance to disperse ""illegal encampments"". President Joe Biden makes light of being ""old"" as he awards the highest US civilian honour to 19 recipients. The BBC's Nada Tawfik explains what Hope Hicks, Trump's former press secretary, revealed about the hush-money deal. A small plane's engine lost power mid-flight, forcing the pilot to land on a New York beach. Sikh separatist Hardeep Singh Nijjar was shot dead last June outside a temple in a Vancouver suburb. More than one thousand of the animals visited a city pier - the region's biggest spike in 15 years.",https://www.bbc.com/news/world-us-canada-68980344
10,US and allies sink mock enemy ship in military drill,"US and Philippine forces, supported by Australian air surveillance teams, sank a mock enemy warship in the South China Sea. More than 16,000 military personnel from the three countries took part in the series of drills, which included a scenario of a foreign invasion in the Philippines. Severe storms damaged multiple buildings and trapped dozens in a Michigan FedEx facility. The BBC's Nada Tawfik looks at the biggest moments of the former adult-film star's time on the stand. Jennifer Wexton was diagnosed with progressive supranuclear palsy, which makes it difficult for her to speak. Parts of the central US were hit by severe weather on Monday, killing one and leaving many without power. Parts of the central US were hit by severe weather on Monday, killing one and leaving many without power. New York Governor Kathy Hochul's comments during a technology panel have drawn controversy. In an address at a Holocaust remembrance event, the US president said commitment to Israel is ""ironclad"". Fashion's biggest night of the year featured appearences by Kim Kardashian, Dua Lipa and Doja Cat. The BBC's Nada Tawfik runs through documents shown as evidence in court as Trump's criminal trial continues. Hundreds of people were rescued in Texas after deadly flooding and severe storms hit the US state. Pennsylvania pastor Glenn Germany escaped injury when gunman's firearm failed to discharge. Pro-Palestinian protesters interrupted ceremonies using chants and flags in Massachusetts and Michigan. There were dozens of workers still inside when the extreme weather event struck - but all survived. More rain is forecast in the south-east of the state as authorities urge some residents to evacuate. NYU students were arrested after administrators asked for assistance to disperse ""illegal encampments"". President Joe Biden makes light of being ""old"" as he awards the highest US civilian honour to 19 recipients. The BBC's Nada Tawfik explains what Hope Hicks, Trump's former press secretary, revealed about the hush-money deal. A small plane's engine lost power mid-flight, forcing the pilot to land on a New York beach. Sikh separatist Hardeep Singh Nijjar was shot dead last June outside a temple in a Vancouver suburb. More than one thousand of the animals visited a city pier - the region's biggest spike in 15 years.",https://www.bbc.com/news/world-us-canada-68980344
